 TOTAL_DETECTION_COUNT,DEVELOPER_TYPE_INDEX,DOWNLOAD_RANGE_BINARY,ANDROID_VERSION_BINARY,CONTENT_RATING_BINARY, MALWARE_DETECTION_COUNT
49,3,5,10,0,0
49,3,5,10,0,0
53,3,5,10,0,1
53,3,5,10,0,1
53,3,8,10,0,0
51,3,14,10,0,0
51,3,5,10,2,0
50,3,11,5,2,1
54,3,8,5,0,1
52,3,8,5,0,1
54,3,17,5,0,1
48,3,5,2,0,1
51,3,5,2,0,0
51,3,5,2,0,1
53,3,7,2,0,0
50,3,5,2,0,1
51,3,8,14,0,0
51,3,2,21,0,0
54,3,8,10,2,1
51,3,17,10,0,1
53,3,8,10,0,1
47,3,11,10,0,0
52,3,8,10,0,1
51,3,5,8,0,1
53,3,2,10,2,1
51,3,8,10,2,1
51,3,8,2,0,1
53,3,16,10,0,0
50,3,11,10,0,0
52,3,8,12,0,1
50,3,11,8,0,0
50,3,5,10,0,0
48,3,5,14,0,0
48,3,11,10,0,0
51,3,11,8,0,1
48,3,5,8,0,0
50,3,11,8,0,0
50,3,1,8,0,0
50,3,5,8,0,0
49,3,5,8,0,1
48,3,5,8,0,0
50,3,5,8,0,1
50,3,5,8,0,0
50,3,11,8,0,1
51,3,5,10,0,0
51,3,5,10,0,1
50,3,1,8,0,1
50,3,11,8,0,0
50,3,1,8,1,0
51,3,5,10,0,0
51,3,6,10,0,0
52,3,8,10,2,1
52,3,5,3,1,1
49,3,5,10,0,1
51,3,8,8,0,1
51,3,1,14,0,1
51,3,6,21,0,0
51,3,8,3,0,0
51,3,5,8,0,0
48,3,11,8,0,0
51,3,5,8,0,1
50,3,8,8,0,1
51,3,5,8,3,1
50,3,1,8,0,1
51,3,14,10,0,1
53,3,11,12,0,0
50,3,5,10,0,0
54,3,8,12,3,1
54,3,8,12,3,1
51,3,5,10,0,1
51,3,5,8,0,0
50,3,11,10,0,0
51,3,17,12,0,1
53,3,8,12,0,0
51,3,2,12,0,0
53,3,17,3,0,0
50,3,8,10,0,1
50,3,8,10,1,1
54,3,8,10,0,1
51,3,14,10,0,1
51,3,5,10,0,1
53,3,8,12,0,1
52,3,5,10,0,1
52,3,5,8,0,1
52,3,6,10,2,1
50,3,8,8,0,1
51,3,5,10,0,0
53,3,11,8,0,1
53,3,5,8,0,1
