ANDROID_VERSION_BINARY,WRITE_GMAIL,GET_ACCOUTNS,WAVE_LOCK,WRITE_SMS,DOWNLOAD_RANGE_BINARY, TOTAL_DETECTION_COUNT,BINDABLE,RECEIVE_BROADCASTS,RECORD_MOVIE,ACCESS_NORTON_SECURITY,DLC_REQUEST,ACCESS_COARSE_UPDATES,ACCESS_GPS,CONTENT_RATING_BINARY,ACCESS_WIMAX_STATE,DEVELOPER_TYPE_INDEX,INSTALL_THEME,READ_FRAME_BUFFER,CAMERA_ADDON,VIBRATION,CHNAGE_CONFIGURATION,READ_PROFILE,C2D_SEND,SYSTEM_COMMUNICATION,INVOKE_INTERNAL_HANDLER, MALWARE_DETECTION_COUNT,READ_INPUT_STATE,GET_TOP_ACTIVITY_INFO,MSTwitter,RECEIVER, MALWARE_DETECTION_COUNT
10,1,0,1,0,5,49,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
10,1,0,1,0,5,49,0,0,0,0,1,0,0,0,0,3,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
10,0,0,0,0,5,53,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
10,0,0,0,0,5,53,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
10,1,0,1,0,8,53,0,0,0,0,1,0,0,0,0,3,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
10,0,0,0,0,14,51,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1,0,0,0,5,51,0,0,0,1,0,0,0,2,1,3,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
5,0,0,0,0,11,50,0,0,0,1,0,1,1,2,0,3,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1
5,0,0,0,0,8,54,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
5,0,0,0,0,8,52,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
5,0,0,0,0,17,54,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
